,year,make,model,sub_model,city,state,mileage,price,exterior_color,interior_color,mpg_city,mpg_hwy,engine,transmission,drive_type,fuel_type,popular_feature,cpo,num_accident,usage_type,title,num_owner
0,2017,Ford,['Fusion'],SE FWD,Stanton,CA,56448,10899,Magnetic,Gray,21.0,32.0,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,0,Fleet or Mixed Use,Clean,1
1,2017,BMW,"['3', 'Series']",330i xDrive Sedan,Freeport,NY,31028,15928,Alpine White,Venetian Beige/Black,23.0,33.0,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Gas,[],False,0,Personal or Rental Use,Clean,1
2,2019,Dodge,"['Grand', 'Caravan']",SXT,San Francisco,CA,20386,18697,Black Onyx Crystal Pearlcoat,Black/Light Graystone,17.0,25.0,3.6L V-6 Gas,Automatic,FWD,Gas,"['Power Trunk/Liftgate', 'Remote Engine Start', 'Backup Camera', 'Front Heated Seats', 'Cruise Control', 'Bluetooth']",False,0,Personal or Rental Use,Clean,1
3,2017,Ford,['Fusion'],SE FWD,Denver,NC,99515,8799,Shadow Black,Black,21.0,32.0,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,1,Fleet or Mixed Use,Clean,2
4,2018,Ford,['F-150'],XLT SuperCrew 5.5' Box 4WD,Boulder,CO,43503,26800,Oxford White,Dark Earth Gray,16.0,22.0,3.5L V-6 Gas Turbocharged,Automatic,4WD,Gas,[],False,0,Personal or Rental Use,Clean,1
5,2017,Nissan,['Rogue'],SV AWD,Palmetto Bay,FL,78116,9997,Magnetic Black,Charcoal,25.0,32.0,2.5L Inline-4 Gas,Automatic,AWD,Gas,"['Front Heated Seats', 'Cruise Control', 'Backup Camera', 'Remote Engine Start', 'Blind Spot System', 'Bluetooth']",False,2,Fleet or Mixed Use,Clean,1
6,2017,Toyota,['RAV4'],XLE AWD,Great Falls,MT,189335,13495,Super White,Black,22.0,28.0,2.5L Inline-4 Gas,Automatic,AWD,Gas,[],False,0,Personal or Rental Use,Clean,1
7,2016,Ford,['F-150'],XLT SuperCrew 5.5' Box 4WD,Gorham,NH,47692,26590,Black,Medium Earth Gray,17.0,23.0,3.5L V-6 Gas Turbocharged,Automatic,4WD,Gas,[],False,0,Personal or Rental Use,Clean,1
8,2018,Chevrolet,['Equinox'],LT with 1LT AWD,Belton,MO,148518,9888,Silver Ice Metallic,Jet Black,24.0,30.0,1.5L Inline-4 Gas Turbocharged,Automatic,AWD,Gas,"['Power Trunk/Liftgate', 'Remote Engine Start', 'Blind Spot System', 'Backup Camera', 'Front Heated Seats', 'Cruise Control', 'Lane Keep Assist', 'Bluetooth']",False,0,Personal or Rental Use,Clean,1
9,2017,Honda,['Civic'],LX Hatchback CVT,Duluth,GA,102068,9985,Crystal Black Pearl,Select,31.0,40.0,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,2,Fleet or Mixed Use,Clean,1
10,2016,Ford,['F-150'],XLT SuperCrew 5.5' Box 4WD,Sacramento,CA,103293,22997,White,Gray,17.0,23.0,5.0L V-8 Gas,Automatic,4WD,Gas,[],False,0,Personal or Rental Use,Clean,2
11,2016,Ford,['F-150'],XLT SuperCrew 5.5' Box RWD,Murrieta,CA,22650,26132,Shadow Black,Black,18.0,25.0,3.5L V-6 Gas Turbocharged,Automatic,RWD,Gas,"['Cruise Control', 'Bluetooth']",False,0,Personal or Rental Use,Clean,2
12,2018,Chevrolet,['Equinox'],LT with 1LT FWD,Hollywood,FL,91793,9491,Silver Ice Metallic,Jet Black,26.0,32.0,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Power Trunk/Liftgate', 'Remote Engine Start', 'Blind Spot System', 'Backup Camera', 'Front Heated Seats', 'Cruise Control', 'Lane Keep Assist', 'Bluetooth']",False,0,Personal or Rental Use,Clean,1
13,2016,Honda,['CR-V'],EX AWD,Sea Girt,NJ,73753,15975,Alabaster Silver Metallic,Gray,25.0,31.0,2.4L Inline-4 Gas,Automatic,AWD,Gas,"['Moonroof', 'Cruise Control', 'Bluetooth', 'Front Heated Seats', 'Backup Camera']",True,0,Personal or Rental Use,Clean,1
