,year,make,model,sub_model,city,state,mileage,price,exterior_color,interior_color,mpg_city,mpg_hwy,engine,transmission,drive_type,fuel_type,popular_feature,cpo,num_accident,usage_type,title,num_owner
0,2017,Ford,Fusion,SE FWD,Blue Mound,TX,32253,14400,White Platinum Metallic Tri-Coat,Medium Light Stone,21.0,32.0,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Navigation', 'Backup Camera', 'Cruise Control', 'Bluetooth']",False,0,Fleet or Mixed Use,Clean,1
1,2007,BMW,6,650i Convertible,Stanton,CA,59664,11499,Mineral Silver Metallic,Tan,16.0,22.0,4.8L V-8 Gas,Automatic,RWD,Gas,[],False,0,Fleet or Mixed Use,Clean,3
2,2019,Kia,Optima,LX,Thornton,CO,4816,18586,Ebony Black,Black,24.0,33.0,2.4L Inline-4 Gas,Automatic,FWD,Gas,"['Cruise Control', 'Lane Keep Assist', 'Bluetooth', 'Blind Spot System', 'Backup Camera']",True,1,Personal or Rental Use,Clean,2
3,2017,Ford,Fusion,SE FWD,Denver,NC,99515,8999,Shadow Black,Black,21.0,32.0,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,1,Fleet or Mixed Use,Clean,2
4,2017,Hyundai,Elantra,SE 2.0L Sedan Automatic (alt),Wesley Chapel,FL,117200,6109,Quartz White Pearl,Beige,29.0,38.0,2.0L Inline-4 Gas,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth']",False,1,Personal or Rental Use,Clean,1
5,2017,Honda,Civic,LX Hatchback CVT,Duluth,GA,102068,9985,Crystal Black Pearl,Select,31.0,40.0,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,2,Fleet or Mixed Use,Clean,1
6,2016,Ford,F-150,XLT SuperCrew 5.5' Box RWD,Murrieta,CA,22650,26132,Shadow Black,Black,18.0,25.0,3.5L V-6 Gas Turbocharged,Automatic,RWD,Gas,"['Cruise Control', 'Bluetooth']",False,0,Personal or Rental Use,Clean,2
7,2016,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Sacramento,CA,103293,22997,White,Gray,17.0,23.0,5.0L V-8 Gas,Automatic,4WD,Gas,[],False,0,Personal or Rental Use,Clean,2
8,2017,Nissan,Rogue,SV AWD,Palmetto Bay,FL,78116,9997,Magnetic Black,Charcoal,25.0,32.0,2.5L Inline-4 Gas,Automatic,AWD,Gas,"['Front Heated Seats', 'Cruise Control', 'Backup Camera', 'Remote Engine Start', 'Blind Spot System', 'Bluetooth']",False,2,Fleet or Mixed Use,Clean,1
9,2017,Ford,Fusion,SE FWD,Houston,TX,48524,10466,Shadow Black,Unknown,21.0,32.0,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,0,Fleet or Mixed Use,Clean,2
10,2018,Chevrolet,Equinox,LT with 1LT AWD,Belton,MO,148518,9888,Silver Ice Metallic,Jet Black,24.0,30.0,1.5L Inline-4 Gas Turbocharged,Automatic,AWD,Gas,"['Power Trunk/Liftgate', 'Remote Engine Start', 'Blind Spot System', 'Backup Camera', 'Front Heated Seats', 'Cruise Control', 'Lane Keep Assist', 'Bluetooth']",False,0,Personal or Rental Use,Clean,1
11,2017,Ford,Escape,SE FWD,Savannah,GA,71593,10995,Oxford White,Medium Light Stone,23.0,30.0,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,0,Fleet or Mixed Use,Clean,1
12,2019,Chevrolet,Malibu,LT with 1LT,Hollywood,FL,25970,10991,Silver Ice Metallic,Jet Black,29.0,36.0,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Front Heated Seats', 'Cruise Control', 'Bluetooth', 'Remote Engine Start', 'Backup Camera']",False,0,Personal or Rental Use,Clean,1
13,2014,Chevrolet,Cruze,LT with 1LT AT,Palmetto Bay,FL,63843,5398,Summit White,Medium Titanium,26.0,38.0,1.4L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth']",False,1,Fleet or Mixed Use,Clean,5
14,2018,Chevrolet,Equinox,LT with 1LT FWD,Hollywood,FL,91793,9491,Silver Ice Metallic,Jet Black,26.0,32.0,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Power Trunk/Liftgate', 'Remote Engine Start', 'Blind Spot System', 'Backup Camera', 'Front Heated Seats', 'Cruise Control', 'Lane Keep Assist', 'Bluetooth']",False,0,Personal or Rental Use,Clean,1
15,2017,Chevrolet,Equinox,LT with 1LT FWD,Belton,MO,140089,8888,Silver Ice Metallic,Jet Black,21.0,31.0,2.4L Inline-4 Gas,Automatic,FWD,Gas,"['Power Trunk/Liftgate', 'Remote Engine Start', 'Blind Spot System', 'Bluetooth', 'Front Heated Seats', 'Cruise Control', 'Backup Camera']",False,0,Personal or Rental Use,Clean,1
16,2018,Ford,F-150,XLT SuperCrew 5.5' Box 2WD,Lumberton,NC,15681,29300,Ingot Silver Metallic,Black,17.0,23.0,3.5L V-6 Gas Turbocharged,Automatic,RWD,Gas,[],False,0,Personal or Rental Use,Clean,1
